employerid,employername,jobid,jobtitle,locationname,yearlyminimumsalary,yearlymaximumsalary,dateposted,expirationdate,joburl,fulltime,contracttype,jobdescription,applicationcount,skills_list,daysremaining
690770,NG Bailey,56107225,Data Analyst,Leeds,,,21/11/2025,2026-01-02,https://www.reed.co.uk/jobs/data-analyst/56107225,Full time,Permanent,"Data Analyst (9-Month FTC) Location: Leeds (Hybrid)Contract: 9-Month Fixed-Term ContractSalary: Competitive + Flexible Benefits We have an exciting opportunity for a Data Analyst to join our Facilities Services Insight Team at NG Bailey on a 9-month fixed-term contract. This role plays a key part in our system transformation programme, supporting the business as  we prepare to migrate operational data into a new enterprise platform. Reporting to the Head of Transformation, you’ll join an established team working at the heart of our data improvement journey—helping us strengthen the quality, consistency, and reliability of the information that underpins our service delivery  nationwide. Some of the key deliverables in this role include:  Working across multiple operational systems to review, validate and cleanse key business data ahead of migration.Partnering with operational teams to promote strong data ownership and help resolve inconsistencies or gaps.Preparing and mapping legacy data for the new system, supporting testing and reconciliation activity.Monitoring data inputs and helping embed good data governance practices as we transition to new ways of working. What we’re looking for: If you enjoy making sense of complex datasets, solving problems, and working with teams to drive better data behaviours, this could be a great fit. We’re keen to speak with individuals who can bring:  Experience working in data analysis, cleansing, or migration projects.A strong understanding of data structures, relational databases, and validation techniques.Confident use of Excel and data tools such as Power BI.Excellent attention to detail and a proactive, collaborative working style.Experience supporting system or ERP implementation projects (desirable, not essential).This role would suit someone curious, thorough, and comfortable owning tasks from investigation through to completion—while engaging positively with colleagues across the business. Benefits We're always evolving our benefits to ensure we're attracting and retaining great people. Some of what you can expect includes:  25 Days Holiday + Bank Holidays, with the option to Buy/Sell additional daysPension with a leading provider and up to 8% employer contributionPersonal Wellbeing and Volunteer DaysLife AssuranceSalary sacrifice car scheme (Hybrid/Electric Vehicle)Access to our 24/7 Employee Assistance ProgrammeFlexible benefits including Dental Insurance, Gym Membership, Travel Insurance, Cycle to Work, and more Next Steps:  As a business, we’re on a journey to build on our culture where everyone is included, treated fairly and with respect. This starts with recruitment and how we bring people into the organisation.   We’ll do our best to outline the recruitment process to you ahead of time with plenty of notice. If you require any accommodations to participate in the application or interview process, please let us know and we will work with you to ensure your needs are  met.  About Us:  We are one of the leading independent engineering and services businesses in the UK. Founded in 1921, with a turnover of £500m and 3000 employees, we are proud of our history of developing great people through our investment in training.  Working across a variety of sectors within the building and infrastructure industry, our innovative, responsible and forward-thinking approach allows us to work on fantastic ground-breaking projects, providing solutions using the latest tools and technologies.  Progression is something we value, and we will make sure that when you join us you have a clearly defined development path, supported by regular reviews, training and ongoing support to enable you to be the best you can be. #LI-AX1#LI-hyrid ",80,"Excel, Power BI",35
328885,esure Group,56107954,Data Analyst,Reigate,,,21/11/2025,2026-01-02,https://www.reed.co.uk/jobs/data-analyst/56107954,Full time,Permanent,"Company Description Ready to join a team that's leading the way in reshaping the future of insurance? Here at esure Group, we are on a mission to revolutionise insurance for good! We’ve been providing Home and Motor Insurance since 2000, with over 2 million customers trusting us to keep them covered through our esure and Sheilas’ Wheels brands. With a bold dedication for digital innovation, we're transforming the way the industry  operates and putting customers at the heart of everything we do. Having completed our recent multi-year digital transformation, we’re now leveraging advanced technology and data-driven insights alongside exceptional service, to deliver personalised experiences that meet our customers ever-changing needs today and in the  future. Job Description We are currently recruiting for a Data Analyst to join our Data team. We’re on the lookout for someone who can bring strong analytical and design skills to our projects. In this role, you’ll be responsible for shaping solutions from the ground up – analysing  requirements, designing effective approaches, and making sure that every outcome is clear and measurable. This position offers excellent support for those who are looking to progress into the world of Data Science or Analytical Engineering. What you’ll do:  Conduct deep-dive analysis to generate insights that drive business decisions and performance.Work closely with collaborators from different departments in cross-functional agile teams.Extract, analyse and present data to both technical and non-technical audiences.Create and automate business intelligence dashboards, enabling self-serve reporting.Define meaningful metrics and KPIs, and build tracking frameworks across teams.Partner with product, engineering, AI and data science teams to accelerate development.Work with architects to design data products, test new tools, and support ML/AI workflows.Ensure data quality, integrity and consistency across multiple sources.Thrive in a fast-paced trading environment where insight shapes strategy. Qualifications What we’d love you to bring:  Passion for using data to tell stories, make insight actionable, and influence decisions.Strong understanding of data models and analytics; exposure to predictive modelling and machine learning is a plus.Proficient in SQL and Python, with bonus points for PySpark, SparkSQL, and Git.Skilled in data visualisation with tools such as Tableau or Power BI.Confident writing efficient code and troubleshooting sophisticated queries.Clear and adaptable communicator, able to explain technical topics to business audiences and translate business needs for product teams.Skilled in team collaboration and exhibits good interpersonal skills.Able to prioritise, multi-task, and deliver at pace with an iterative mindset.Experience with modern data platforms such as Databricks or Snowflake is advantageous; LLM API experience is a bonus. Additional Information What’s in it for you?:  Competitive salary that reflects your skills, experience and potential.Discretionary bonus scheme that recognises your hard work and contributions to esure’s success.25 days annual leave, plus 8 flexible days and the ability to buy and sell further holiday.Our flexible benefits platform is loaded with perks to choose from, so you can build a personal toolkit to support your health, wellbeing, lifestyle, and finances.Company funded private medical insurance for qualifying colleagues.Fantastic discounts on our insurance products! 50% off for yourself and spouse/partner and 10% off for direct family members.We’ll elevate your career with hands-on training, mentoring, access to our exclusive academies, regular career conversations, and expert partner resources.Driving good in the world couldn’t be more important to us. Our colleagues can use 2 volunteering days per year to support their local communities.Join our internal networks and communities to connect, learn, and share ideas with likeminded colleagues.We’re a proud supporter of the ABI’s ‘Make Flexible Work’ campaign and welcome you to ask about the flexibility you need. Our hybrid working approach also puts you in the driving seat of how and where you do your best work.And much more; See a full overview of our benefits here Reward and benefits | Esure Group PLC We are committed to creating an inclusive and diverse workplace where everyone feels valued, respected, and empowered. We celebrate individuality and create spaces where unique backgrounds and experiences can come together. We believe that diverse perspectives  drive innovation, in turn enabling us to better serve our customers, community and build a stronger organisation. Our commitment to inclusion extends to every part of our business, from hiring practices to professional growth opportunities, ensuring equal  access and support for all. ",43,"Machine Learning, Python, SQL, API, Spark, Tableau, Power BI, Snowflake, Git",35
685292,Smart4Chemicals,55988131,Data Analyst,Wigan,30000.0,35000.0,28/10/2025,2025-12-09,https://www.reed.co.uk/jobs/data-analyst/55988131,Full time,Permanent," Data Analyst - Wigan Do you have experience working as a Data Analyst within a production environment? Are you looking for a long-term role with clear paths for progression? Then this chemical company looking to add a Data Analyst to the team is looking for you! Your duties as a Data Analyst include but are not limited to the following:  Generate monthly reports showing statistical data on manufacturing and sales performance for the senior leadership team.Manipulate, analyse and interpret complex data sets relating to departments and the business as a whole.Identify, collect and migrate data from a range of sources.Monitor and audit data quality.Review data and identify trends to provide business insights. Requirements:  Relevant degree or equivalent experience.Demonstrated experience of Excel and other Microsoft packages.Experience creating reports using SQL is advantageous. For more information please apply or contact Chad Petersen at Smart4 Chemicals. ",216,"SQL, Excel",11
676328,Marley Risk Consultants Limited,56094030,Data Analyst,Bishops Cleeve,35000.0,45000.0,19/11/2025,2025-12-31,https://www.reed.co.uk/jobs/data-analyst/56094030,Full time,Permanent," Data Analyst Marley Risk Consultants Ltd are proud to be the difference in latent defect insurance, providing comprehensive services to ensure the very best results for all stakeholders. Established in 2013, we have offices in Shrewsbury, London and Cheltenham and are  going through a period of growth to meet the needs of our expanding client base. The postholder will be responsible for analysing, interpreting and reporting on management information data to identify trends, provide insight and assist senior management in key decision-making processes. Job Location:  This role offers a hybrid working arrangement, with a primary base at our Cheltenham office. Job Type:  Full-time (Mon-Fri) Key Activities:  Produce and analyse large monthly data sets for multiple clients, creating regular reporting based on their requirementsDriving data led decision making across the business, working with stakeholders to help them understand how data can assist them as part of the overall data strategy for the business.Complete complex ad hoc data analysis requests for clients.Proven experience interacting directly with stakeholders at all levels, presenting data and communicating complex technical concepts clearly to non-technical audiences.Support the Underwriting and Claims Handling teams with relevant data and expert analysis as required.Play a key role in influencing and streamlining claims handling and underwriting processes, operational spend and client outcomes.Identify data issues and proactively seek appropriate resolutions.Actively participate in team discussions to highlight issues and promote group learning and deliver projects.Perform other tasks as reasonably required by Senior Management. Skills and Experience:  Proven track record in data analysis within the insurance industry, with emphasis on analytic functions in insurance underwriting or statistical disciplinesMust be detail oriented, skilled in problem solving and experience of insurance underwriting concepts and rating tools is preferable.Strong numerical and analytical skills. Able to effect interpret, analyse and report on complex data sets with an ability to conduct, interpret and communicate qualitative/quantitative analysisStrong data analysis skills with an ability to understand, visualise and trend large datasets to formulate evidence-based hypotheses and communicate findings to stakeholders.Experience with power BI - creating and publishing dashboards, data transformation and visual conformity.Advanced excel skills - proficiency with functions, look up, index match, pivot tables and visualisationsData science and predictive modelling - Skills in using techniques to model past data for future predictions and understanding drivers of trends and patterns is preferableStrong verbal and written communication skills.Ability to work collaboratively within a team to deliver projects and share knowledge and expertise.Able to quickly build positive and effective relationships with internal and external stakeholders.Prior experience working as part of a data team is preferred.Confident working independently under instruction.We prefer candidates with a degree, apprenticeship or diploma in a numerical discipline such as Mathematics, Statistics or Data Science.Bachelor’s degree (preferred), with GCSE English Language grade 5/C or equivalent. Benefits:  Generous company pension.Cycle to work scheme.Tech scheme.Life Insurance (following successful completion of probationary period).Private Medical Insurance (following successful completion of probationary period).Flexible working.EV charging points (where available).Employee Assistance Programme.Free gym membership.  ",153,"Excel, Statistics, Power BI",33
500373,QA,56038552,Data Analyst Apprentice,Edgbaston,18000.0,18000.0,07/11/2025,2025-12-19,https://www.reed.co.uk/jobs/data-analyst-apprentice/56038552,Full time,Permanent," About Sentinel Partners: Sentinel Partners is an award-winning developer of data management software that empowers organisations to use their data more effectively. Based in Birmingham, Sentinel supports both private and public sector clients with a focus on improving analytics,  launching AI initiatives, and establishing strong data foundations. Their platform helps create a unified view of citizens, customers, residents or patients by eliminating fragmented data and enabling better decisions.   Joining Sentinel means being part of a team dedicated to “Improving Data. Improving Lives.” and working in an environment of high data governance, innovation and collaboration. Overview: As a Data Analyst Apprentice, you will embark on a structured Level 4 Data Analyst Apprenticeship while working alongside experienced data professionals at Sentinel Partners. You will gain hands-on experience in data collection, cleaning, analysis, visualisation  and reporting, supporting projects across Sentinel’s client base in the public and private sectors. You will:  Learn to support data integration and management tasks, assisting in consolidating multiple data sources and improving data quality.Work with the data team to deliver actionable insights, dashboards and reports for clients.Support data governance, documentation, and quality assurance activities in line with Sentinel’s high standards.Participate in your apprenticeship training and apply your learning to real-world tasks at Sentinel.Develop skills in tools and technologies used for analytics and reporting, under mentorship from senior colleagues. Responsibilities:  Assist in gathering, cleaning and structuring data from diverse sources.Support the development of dashboards, visualisations and reports for stakeholders.Undertake data-quality checks, validation and documentation of datasets.Collaborate with internal teams and clients to understand data requirements and deliver insights.Participate actively in your apprenticeship training and meet all related milestones and assessments.Contribute to ad-hoc data-analysis projects as required, under supervision. What we’re looking for:  Strong interest in data, analytics and technology.Good numerical ability, logical thinking and problem-solving skills.Ability to work collaboratively as part of a team, and willingness to ask questions and learn.Good communication skills – able to explain data concepts simply.A keen eye for detail and a desire to build high-quality data outputs.Ideally, some familiarity with spreadsheets (e.g., Excel) and interest in learning more advanced data tools and techniques. Entry requirements: Standard entry:  Level 3 qualification (apprenticeship/A-levels/BTEC, etc)OR equivalent work experience (typically two years in a relevant role) Plus:  5 GCSEs, including English and Maths at Grade 4 (C) or above Experience with using Excel and Microsoft products (or similar) You may also have a combination of qualifications and experience which demonstrate the minimum foundation needed for the programme. In this instance you could still be considered for the programme. If you hold international equivalents of the above qualifications, at the time of your application you must be able to provide an official document that states how your international qualifications compare to the UK qualifications.  For more information please visit the UK ENIC website.  Working hours: 40 hours per week. Benefits:  A structured Level 4 Data Analyst Apprenticeship with formal training and assessment.Mentorship and support from an established data firm working across multiple sectors.Real-world project experience delivering data solutions to clients alongside the Sentinel team.Opportunity to develop a strong foundation in data analytics, visualisation, management and governance.Hybrid working (office in Birmingham and remote) – flexible working arrangements.A friendly, inclusive and professional workplace environment where learning is promoted. Future prospects: 90% of QA apprentices secure permanent employment after completing: this is 20% higher than the national average. About QA: Our apprenticeships are the perfect way to gain new skills, earn while you learn, and launch yourself into an exciting future. With over 50,000 successful apprenticeship graduates, we're a top 50 training provider, dedicated to helping you succeed. Interested? Apply now! Please be advised that this advert may close prior to the closing date stated above if a high number of applications are received. If you are interested in this vacancy please apply below as soon as possible.  ",70,Excel,21
585023,Marshall Wolfe,55791736,Data Strategy Analyst,London,65000.0,70000.0,19/09/2025,2025-12-22,https://www.reed.co.uk/jobs/data-strategy-analyst/55791736,Full time,Permanent," Data Strategy Analyst - Decision Intelligence  Our client, a national banking organisation, is seeking a sharp, commercially minded Data Strategy Analyst professional to join their Strategic Advisory team. This is a high-impact role where you'll provide independent counsel to senior stakeholders, shape  strategic direction, and drive business-critical decisions across the bank.  What You’ll Be Doing   Advise Group Executives on strategic challenges and opportunitiesDevelop financial models to support recommendations and transactionsLead market research and peer benchmarking to inform strategyManage deal structuring, negotiations, and post-transaction integrationCollaborate across teams to identify growth and optimisation initiativesMaintain and build client relationships to uncover new opportunities  What We’re Looking For   Strong background in data analysis, data processing, data modeling, with excellent mathematical and problem-solving skills.A background in commercial optimisation analytics.Proficiency in Python, PySpark and SQL for data extraction, transformation, and analysis.Expertise in data-driven storage solutions and handling large, complex datasets.Good understanding of classical statistics, with the ability to apply statistical inference and established methods effectively.Strong experience in strategy development, financial analysis, and stakeholder managementAdvanced communication and presentation skillsProven ability to manage complex projects and influence senior decision-makersFamiliarity with market trends, digital transformation, and risk frameworks  Locations: London, Northampton, Manchester or Glasgow Hybrid: 2 days per week in the office  This is a change to join a prestigious financial organisation with excellent career progression opportunities. Please apply with your CV in the first instance. ",433,"Spark, Python, SQL, Statistics",24
385714,E.ON,56075174,Senior Data Analyst,Nottingham,,,14/11/2025,2025-12-26,https://www.reed.co.uk/jobs/senior-data-analyst/56075174,Full time,Permanent," We are looking for a Senior Data Analyst to join our Credit Risk Portfolio Management team - a key function responsible for understanding and forecasting the financial health of the customer base. The role requires the use of advanced analytics to provide  deep insights into credit risk and performance to inform our risk management strategy.  This role is ideal for a proven senior analyst with strong technical and mathematical skills combined with the commercial acumen needed to translate insights into action. Here's a taste of what you'll be doing   Partnering with Finance to develop and maintain debt forecasts to track performance vs. plan, forecast risk and deep dive into the drivers of variations to plan   Developing scenario models to enable data-based decisioning within operational and strategic planning cycles   Staying up to date with emerging analytical techniques and technologies, partnering with Data Science to deliver advanced segmentation and behavioural analysis   Delivering and consulting on the advanced analytics required to support project delivery across the wider Credit Management function e.g. simulation models, data pipeline mock ups, statistically robust testing   Translating analytical outputs into clear recommendations for business stakeholders, influencing decisions across debt prevention and collections strategy   Liaising with Data Engineers to drive enhancements to data quality, availability and usability.  Are we the perfect match?   Proven experience in a data analytics or credit risk role, ideally within utilities, financial services or other regulated industry   Strong coding skills in SQL, Python and PySpark for data extraction, transformation, modeling and forecasting   Solid understanding of forecasting techniques, scenario modelling, and regression-based analytics   Strong commercial acumen, with the ability to translate complex analytical findings into clear narratives with direct links to business value   Excellent stakeholder engagement and communication skills, with confidence working across operational, strategic and technical teams   A degree (or equivalent experience) in a quantitative discipline such as statistics, mathematics, economics or data science  It would be great if you had   Experience working with Databricks   Understanding of macroeconomic and market drivers affecting customer affordability and credit risk   Prior experience working across both residential and commercial consumer bases   Experience working with credit bureau data   A general understanding of accounting principles  Here's what else you need to know   Role may close earlier due to high applications.  Competitive salary   Location - Nottingham E.ON Next office, Trinity House,?2 Burton St, Nottingham NG1 4BX - with travel to our other sites when required.   Excellent parental leave allowance.   Award-Winning Workplace - We're proud to be named a Sunday Times Best Place to Work 2025 and the Best Place to Work for 16-34-year-olds  Outstanding Benefits - Enjoy 26 days of annual leave plus bank holidays, a generous pension, life cover, bonus opportunities and access to 20 flexible benefits with tax/NI savings   Flexible & Family-Friendly - Our industry-leading hybrid and family-friendly policies earned us double recognition at the Personnel Today Awards 2024. We're open to discussing how flexibility can work for you   Inclusive & Diverse - We're the only energy company in the  Inclusive Top 50 UK Employers. We're also proud winners of Best Employer for Women and Human Company of the Year-recognising our inclusive, people-first culture   Support at Every Stage of Life - We're Fertility Friendly and Menopause Friendly accredited, with inclusive support for everyone   Accessible & Supportive - Do you consider yourself as having a disability? As a Disability Confident Employer, we guarantee interviews for disabled applicants who meet the minimum criteria for the role and will make any adjustments needed  during the process   Invested in Your Growth - From inclusive talent networks to top-tier development programmes, we'll support your growth every step of the way   For all successful candidates.? Due to the nature of this role your employment will be subject to a basic DBS (Disclosure Barring Service) check being carried out by ourselves via a 3rd party service provider   ",28,"Spark, Python, SQL, Statistics",28
495572,Aldi,55249121,National Data & Analytics - Data Analyst,Atherstone,53780.0,61950.0,19/06/2025,2025-12-03,https://www.reed.co.uk/jobs/national-data-analytics-data-analyst/55249121,Full time,Contract," We’re looking for proactive, solution-focused analysts to join a multidisciplinary reporting team within the National Data and Analytics (NDA) department. In this role, you will help design, develop, and deliver high-quality national reporting solutions  across one or more business areas, working alongside fellow developers, Business Partners, and Engineers to create products that empower decision-making and drive strategic outcomes.  You’ll report directly to the NDA Reporting Team Leader and play a key role in the full delivery lifecycle — from understanding gathered requirements, development, testing, and documentation to final release. Successful delivery goes beyond the reporting  product itself; it includes technical documentation, user acceptance testing materials, and training resources. This role is perfect for a technically skilled individual who thrives in a collaborative environment, enjoys problem-solving, and is eager to develop their skills while making a national impact. Your New Role  Design, develop, and maintain high-quality national reporting solutions across multiple platforms. Translate business requirements into effective technical solutions that meet user needs. Collaborate with NDA Business Partners to clarify requirements and align reporting solutions with business objectives. Ensure that technical and business documentation, UAT materials, and training resources accompany all delivered reports. Conduct testing and troubleshooting to ensure data accuracy, integrity, and usability. Support continuous improvement by identifying opportunities to enhance reporting solutions and processes. Participate in knowledge-sharing activities, code reviews, and collaborative problem-solving within the team. Work closely with the NDA Reporting Team Leader to meet project deadlines and deliverables.  About You   Proven experience with SQL for data analysis, automation, and reporting solutions including Tableau or similar. Ability to understand business requirements and translate them into technical deliverables. Excellent attention to detail and a commitment to data accuracy and quality. Strong written and verbal communication skills. Ability to collaborate effectively within a cross-functional team environment. Strong organisation and time management skills, with the ability to manage multiple priorities. Willingness to learn new systems, tools, and processes. Experience working with SAP. Familiarity with version control tools (e.g. Git).  What you’ll get in Return  Salary starting £53,780 rising to £61,95023-month Fixed Term ContractMonday to Friday, 8:00am to 4:30pm, with the opportunity of 2 day a week remote working5 weeks’ annual leave plus Bank HolidaysIn office flexi-timeFull training providedPension schemePrivate employee medical insurance after 4 yearsCompany sick pay schemeCompany maternity, paternity and adoption pay after 1 yearLong service rewardsAccess to MyBenefits, where you can find a wide range of benefits, including our bike to work scheme, shopping and cinema discounts, health cash plan, a FREE will, travel and discounted gym memberships, as well as a host of benefits to support your financial  and wellbeing needsAccess to a free,24/7, confidential virtual GP service for all Aldi Colleagues and their children (under the age of 16) * You’ll need to live within 90 minutes of your main working locationAldi is an equal opportunities employer. We’re committed to maintaining adiverse and inclusive workforce and are dedicated to promoting a culture of inclusion, providing an environment in which collaboration, respect and fairness are essential. We value diversity and are dedicated to treating all of our colleagues and prospective  colleagues fairly and with respect.If you’re looking for a career that gives you more, apply today!*Please be aware that this role does not fulfil the requirements for visa sponsorship ",566,"Git, Tableau, SQL",5
692028,Lloyd James Media Group,56101532,Business Intelligence Data Analyst,Wolverhampton,30000.0,50000.0,20/11/2025,2026-01-01,https://www.reed.co.uk/jobs/business-intelligence-data-analyst/56101532,Full time,Permanent," Job Description Are you passionate about transforming raw data into powerful business insights? Do you thrive in fast-paced, innovative environments where your technical skills can shine? Are you eager to join a forward-thinking organisation that values expertise in  data systems and analytics? We are currently looking for a Business Intelligence & MongoDB Data Systems Analyst to join our dynamic team based in Blakenhall, Wolverhampton! Hours of Work: Full time The Business Intelligence Data Analyst will be pivotal in managing and optimising the organisation's data flows. Your role will involve analysing operational data, maintaining robust MongoDB environments, and developing automation solutions that enhance  efficiency. You will work closely with both operational and technical teams, ensuring that data is accurate, secure, and leveraged to support strategic decision-making and scalable growth. Requirements:  2–4 years of experience in data analytics, database management, or operational support within relevant industries.Proficiency in MongoDB administration, including data modelling, indexing, and query optimisation.Working knowledge of SQL and practical experience in data migration between SQL and NoSQL systems.Strong skills in data analysis, validation, and reporting, with the ability to communicate complex insights clearly.Excellent organisational skills, reliability, and a proactive approach to problem-solving in a fast-paced environment. Benefits:  Salary in the range of £30,000–£50,000 per annum, dependent on experience.Generous holiday entitlement and flexible working arrangements.Opportunities for professional development and career progression within a forward-thinking organisation.Continuous training and access to cutting-edge technology and systems.Supportive team environment with a focus on innovation and excellence. Meet the Organisation: Who We Are and What We Do The Lloyd James Media Group is an independently owned, fast-growing organisation operating across financial services, legal, media, and technology sectors. Headquartered in Wolverhampton, we employ over 100 colleagues across the UK and overseas. Our organisation  is built on values of integrity, accountability, diligence, perseverance, and self-discipline, enabling us to deliver high-quality services that combine innovation, technology, and customer care. Recognised as an award-winning leader, we embrace digital transformation  and continuous improvement in everything we do. If you believe you are the right fit for the Business Intelligence Data Analyst role, apply now! ",111,"SQL, MongoDB",34
618887,Virgin Money,56123202,Cyber Data Protection Analyst,Glasgow,28800.0,28800.0,26/11/2025,2026-01-07,https://www.reed.co.uk/jobs/cyber-data-protection-analyst/56123202,Full time,Permanent," Business Unit: Technology Operations & Cyber Security (TOCS), COOSalary Range: £28,800 to £36,000 per annum DOELocation: UK Hybrid - with flexibility to occasionally visit a Virgin Money UK Hub.Contract Type: Permanent - Full time Our Team  We're looking for a Data Loss Prevention (DLP) Analyst to join our busy Data Security team, to support analysis and reporting work for data loss and insider threat events in Virgin Money.  Your role will involve working closely with our Data Security, Incident  Response and Business teams to manage events and progress remediation, and represents a great opportunity to work with industry-leading tools and security partners, utilising your analytical, technical and communication skills to really make a difference to  our customers and colleagues. Whatyou'llbe doing  Cyber security risks are a key threat to our overall standing, reputation and performance, as evidenced by recent impacts of sophisticated attacks on a number of high-profile companies and financial institutions.  As we seek to grow our profile in an increasingly  competitive digital arena, the DLP capability must adapt the strategy to be responsive to these challenges. The DLP Analyst will support the Bank's security controls for Data Loss Prevention, carrying out assessments of DLP and Insider Threat events, including incident management, escalation and resolution, acting as a liaison with key stakeholders, and be responsible  for reporting on current status and trends. We need you to have   Analysis of DLP and Insider Threat eventsCorrelating events to determine if a threat existsDLP and Insider Threat solutions, showing a good level of operational knowledge and understanding, with the ability to navigate confidently to get the most from the toolCommunicating with colleagues and stakeholders across the organisation to ensure DLP events are managed effectively to resolutionFeeding into an improvements programme to improve efficiencies and reduce riskIT and Information Security best practiceTeam working and the ability to be self-directed on task completionDemonstrating a professional ‘can do' attitude and high levels of motivationWorking under pressure, managing multiple priorities in a rapidly changing and dynamic environment It'sa bonus if you have but not essential   Self-driven qualities and able to work independently as well as part of a teamStrong interpersonal and influencing skills with the ability to influence and drive change in a collaborative wayProven ability to make sound pragmatic decisions and judgements under tight timelinesExperience with advanced analytical and problem-solving techniquesIndustry related security qualification (e.g. CISSP, CISM) or equivalent practical security experienceSolid skills and experience in Excel The extras you'll get:  25 days holiday per year, increasing over time to 30. Plus, an option to buy more, giving you even more choice.Private medical insuranceA highly competitive pension to help you build a strong foundation for retirementAccess to an annual performance-related bonusTraining and development to help you progress your careerA great selection of additional benefits through our flexible benefits schemeLife assurance to provide peace of mind for you and your loved onesUp to 2 days of paid volunteering a year If we're lucky to receive a lot of interest, we may close the advert early. Please ensure to submit your applications as soon as possible.   Say hello to Virgin Money  Virgin Money is so much more than just a bank. As part of the?Nationwide group,?together we're the UK's first full-service mutual bank serving millions of retail and business customers and all driven by our purpose; Banking but fairer, more rewarding  and for the good of society. With us, you'll be part of an organisation uniquely positioned to make a difference to the lives of customers, communities and broader society and embark on a collaborative, customer obsessed, and fun-filled career journey.  Embrace the weekdays, enjoy fantastic perks, and make a meaningful positive difference. Time to discover what it means to be part of the first mutual full-service banking provider.   Be yourself at Virgin Money  At Virgin Money, we celebrate everyone. We have fun, think big, and relentlessly include each other, all in pursuit of our purpose: Banking - but fairer, more rewarding, and for the good of society.We're committed to creating an inclusive culture where colleagues feel safe and inspired to contribute, speak up and be heard.? ?  As a Disability Confident Leader, we're committed to removing any obstacles to inclusion.  If you need any reasonable adjustments or support making your application, contact our Talent Acquisition team  Please note: If we receive a high volume of eligible applications, we may need to prioritise candidates whose skills and experience most closely align with the role, while still ensuring fair and equitable consideration for all applicants. ",5,Excel,40
